name,idnumber,description,visible
February22 VOAWW 40hr All,voaww2022-02a,Students from VOAWW who need to complete the full 40hr CORE,0
February22 VOAWW 40hr Exempt,voaww2022-02e,Students who are exempt from the 40hr CORE from VOAWW,0
February22 SOLA 40hr All,sola2022-02a,Students from SOLA who need to complete the full 40hr CORE,0
